algorithm,variant,density,n,m_undirected,seconds_median,seconds_mean,samples
dijkstra,array,dense,20,118,4.3599982745945454e-05,4.214999595812211e-05,6
dijkstra,array,dense,30,284,6.775000656489283e-05,7.195000459129612e-05,6
dijkstra,array,dense,40,496,0.00012180001067463309,0.00011523334251251072,6
dijkstra,array,dense,50,759,0.00016185001004487276,0.00016046666617815694,6
dijkstra,array,dense,80,1932,0.0004922499938402325,0.0004957166675012559,6
dijkstra,array,dense,120,4345,0.0008640000014565885,0.0012794333354880412,6
dijkstra,array,dense,200,11929,0.0026943499979097396,0.002837200003947752,6
dijkstra,array,dense,300,27107,0.005586799990851432,0.0056253666649960605,6
dijkstra,array,dense,400,48226,0.03130595000402536,0.03199576667005507,6
dijkstra,array,dense,600,108126,0.07940184998733457,0.07515178332687356,6
dijkstra,array,dense,800,192090,0.13096689998928923,0.1287188166558432,6
dijkstra,heap,dense,20,118,3.650000144261867e-05,3.6366667094019554e-05,6
dijkstra,heap,dense,30,284,6.304998532868922e-05,7.011666214869668e-05,6
dijkstra,heap,dense,40,496,7.490000280085951e-05,8.441666917254527e-05,6
dijkstra,heap,dense,50,759,0.00011350000568199903,0.00012164999983118226,6
dijkstra,heap,dense,80,1932,0.00034255000355187804,0.0003304166699914883,6
dijkstra,heap,dense,120,4345,0.0004972000024281442,0.0005979666699810574,6
dijkstra,heap,dense,200,11929,0.0017453500040574,0.001768933332641609,6
dijkstra,heap,dense,300,27107,0.004972449998604134,0.0052321666686718045,6
dijkstra,heap,dense,400,48226,0.02312859999074135,0.023764916661699925,6
dijkstra,heap,dense,600,108126,0.05172889999812469,0.05114780000197546,6
dijkstra,heap,dense,800,192090,0.10248089999367949,0.10007989999333707,6
dijkstra,array,sparse,20,99,4.7299996367655694e-05,5.033333824637035e-05,6
dijkstra,array,sparse,30,149,6.874999962747097e-05,7.770000471888731e-05,6
dijkstra,array,sparse,40,199,8.985000022221357e-05,8.881666387120883e-05,6
dijkstra,array,sparse,50,249,0.000109350003185682,0.00012180000097335626,6
dijkstra,array,sparse,80,399,0.0002728000108618289,0.00028108332965833444,6
dijkstra,array,sparse,120,599,0.0004332000098656863,0.00045465000342422474,6
dijkstra,array,sparse,200,999,0.0018788999877870083,0.0019449499911085393,6
dijkstra,array,sparse,300,1499,0.003449600000749342,0.003749033324614478,6
dijkstra,array,sparse,400,1999,0.010208600011537783,0.009543933338136412,6
dijkstra,array,sparse,600,2999,0.02041820000158623,0.02064921667139667,6
dijkstra,array,sparse,800,3999,0.040399450008408166,0.04187103333727767,6
dijkstra,heap,sparse,20,99,3.940000897273421e-05,4.088333419834574e-05,6
dijkstra,heap,sparse,30,149,7.019999611657113e-05,6.934998964425176e-05,6
dijkstra,heap,sparse,40,199,4.2400002712383866e-05,4.555000244484594e-05,6
dijkstra,heap,sparse,50,249,5.330001295078546e-05,6.468333109902839e-05,6
dijkstra,heap,sparse,80,399,0.000125899983686395,0.00013608332665171474,6
dijkstra,heap,sparse,120,599,0.00011285000073257834,0.00012078333141592641,6
dijkstra,heap,sparse,200,999,0.0004413999995449558,0.00044654999995448935,6
dijkstra,heap,sparse,300,1499,0.0005636500136461109,0.0007242833332081015,6
dijkstra,heap,sparse,400,1999,0.0013270999916130677,0.001358083332888782,6
dijkstra,heap,sparse,600,2999,0.002505700002075173,0.002460483325800548,6
dijkstra,heap,sparse,800,3999,0.004518600006122142,0.004094783333130181,6
floyd,numpy,dense,20,126,0.0002727000101003796,0.0002543666729858766,3
floyd,numpy,dense,30,263,0.0003252000024076551,0.0003371666728829344,3
floyd,numpy,dense,40,489,0.0002880000101868063,0.0003010000121624519,3
floyd,numpy,dense,50,755,0.00045769999269396067,0.0007715333291950325,3
floyd,numpy,dense,80,1933,0.0009805999870877713,0.0010493333296229441,3
floyd,numpy,dense,120,4293,0.0021135999995749444,0.0032019000015376755,3
floyd,numpy,dense,200,12042,0.014463200001046062,0.014523466660951575,3
floyd,numpy,dense,300,26936,0.2124783000035677,0.21639896667329594,3
floyd,numpy,dense,400,48044,0.6425043999915943,0.6543527999989843,3
floyd,numpy,dense,600,108239,2.0625427999766544,1.9318061999899026,3
floyd,numpy,dense,800,192335,3.66518690000521,4.22786850000072,3
floyd,python,dense,20,126,0.0028111999854445457,0.0026914333284366876,3
floyd,python,dense,30,263,0.005851699999766424,0.005774799996288493,3
floyd,python,dense,40,489,0.013142499985406175,0.013061099996169409,3
floyd,python,dense,50,755,0.030086199985817075,0.029657066663882386,3
floyd,python,dense,80,1933,0.10565219999989495,0.1052678666698436,3
floyd,python,dense,120,4293,0.3476476000214461,0.33670403333962895,3
floyd,python,dense,200,12042,1.775052599987248,1.8120738666621037,3
floyd,python,dense,300,26936,10.603510099987034,10.647707333332315,3
floyd,python,dense,400,48044,28.587992200016743,29.11644620000152,3
floyd,python,dense,600,108239,107.1432507999998,105.3171399999992,3
floyd,python,dense,800,192335,240.10918190001394,233.76796343332776,3
floyd,numpy,sparse,20,99,0.00033239999902434647,0.00035073333613884944,3
floyd,numpy,sparse,30,149,0.00023939998936839402,0.0002503666716317336,3
floyd,numpy,sparse,40,199,0.0006492999964393675,0.0006279333319980651,3
floyd,numpy,sparse,50,249,0.0004165999998804182,0.0004709000058937818,3
floyd,numpy,sparse,80,399,0.001410199998645112,0.0015045999995588015,3
floyd,numpy,sparse,120,599,0.0023335000150837004,0.0033560333346637585,3
floyd,numpy,sparse,200,999,0.007389800011878833,0.008733700000448152,3
floyd,numpy,sparse,300,1499,0.27046999998856336,0.2256857999988521,3
floyd,numpy,sparse,400,1999,0.6318937999894843,0.6309104666579515,3
floyd,numpy,sparse,600,2999,2.1608208999969065,2.168883766658837,3
floyd,numpy,sparse,800,3999,3.5309791999752633,4.002192099995834,3
floyd,python,sparse,20,99,0.0028390000225044787,0.0028415666699099043,3
floyd,python,sparse,30,149,0.005035199981648475,0.005409000004874542,3
floyd,python,sparse,40,199,0.012773400027072057,0.012767566668723399,3
floyd,python,sparse,50,249,0.025789200008148327,0.025479833343221497,3
floyd,python,sparse,80,399,0.0928245999966748,0.09326886666046146,3
floyd,python,sparse,120,599,0.30946790002053604,0.30704940000820596,3
floyd,python,sparse,200,999,1.3563207999977749,1.3619380999880377,3
floyd,python,sparse,300,1499,7.937445599993225,7.822792999999365,3
floyd,python,sparse,400,1999,24.348070000007283,24.548039000006003,3
floyd,python,sparse,600,2999,80.78048989997478,84.78125849998712,3
