algorithm,variant,density,n,m_undirected,source,repeat,seconds
dijkstra,heap,sparse,20,99,12,0,6.660001236014068e-05
dijkstra,array,sparse,20,99,12,0,7.360000745393336e-05
dijkstra,array,sparse,20,99,12,1,4.610000178217888e-05
dijkstra,heap,sparse,20,99,12,1,3.950000973418355e-05
dijkstra,heap,sparse,20,99,12,2,2.479998511262238e-05
dijkstra,array,sparse,20,99,12,2,4.849999095313251e-05
dijkstra,heap,sparse,20,99,1,0,3.959998139180243e-05
dijkstra,array,sparse,20,99,1,0,2.609999501146376e-05
dijkstra,array,sparse,20,99,1,1,6.690001464448869e-05
dijkstra,heap,sparse,20,99,1,1,3.5500008380040526e-05
dijkstra,heap,sparse,20,99,1,2,3.9300008211284876e-05
dijkstra,array,sparse,20,99,1,2,4.080001963302493e-05
dijkstra,heap,dense,20,118,1,0,3.0399998649954796e-05
dijkstra,array,dense,20,118,1,0,2.7900008717551827e-05
dijkstra,array,dense,20,118,1,1,5.2099989261478186e-05
dijkstra,heap,dense,20,118,1,1,3.980001201853156e-05
dijkstra,heap,dense,20,118,1,2,3.840000135824084e-05
dijkstra,array,dense,20,118,1,2,4.2499974370002747e-05
dijkstra,heap,dense,20,118,4,0,4.159999662078917e-05
dijkstra,array,dense,20,118,4,0,4.610000178217888e-05
dijkstra,array,dense,20,118,4,1,3.960001049563289e-05
dijkstra,heap,dense,20,118,4,1,3.339999238960445e-05
dijkstra,heap,dense,20,118,4,2,3.460000152699649e-05
dijkstra,array,dense,20,118,4,2,4.469999112188816e-05
floyd,numpy,sparse,20,99,,0,0.00033239999902434647
floyd,python,sparse,20,99,,0,0.002753999986452982
floyd,python,sparse,20,99,,1,0.0028390000225044787
floyd,numpy,sparse,20,99,,1,0.0003315999929327518
floyd,numpy,sparse,20,99,,2,0.0003882000164594501
floyd,python,sparse,20,99,,2,0.0029317000007722527
floyd,numpy,dense,20,126,,0,0.0003212000010535121
floyd,python,dense,20,126,,0,0.0028111999854445457
floyd,python,dense,20,126,,1,0.0033943000016734004
floyd,numpy,dense,20,126,,1,0.0002727000101003796
floyd,numpy,dense,20,126,,2,0.00016920000780373812
floyd,python,dense,20,126,,2,0.0018687999981921166
dijkstra,heap,sparse,30,149,9,0,8.369999704882503e-05
dijkstra,array,sparse,30,149,9,0,4.959999932907522e-05
dijkstra,array,sparse,30,149,9,1,7.149999146349728e-05
dijkstra,heap,sparse,30,149,9,1,4.4899992644786835e-05
dijkstra,heap,sparse,30,149,9,2,2.9699993319809437e-05
dijkstra,array,sparse,30,149,9,2,4.140002420172095e-05
dijkstra,heap,sparse,30,149,1,0,5.669999518431723e-05
dijkstra,array,sparse,30,149,1,0,0.00016620001406408846
dijkstra,array,sparse,30,149,1,1,6.75999908708036e-05
dijkstra,heap,sparse,30,149,1,1,8.509997860528529e-05
dijkstra,heap,sparse,30,149,1,2,0.00011599998106248677
dijkstra,array,sparse,30,149,1,2,6.990000838413835e-05
dijkstra,heap,dense,30,284,3,0,4.0799990529194474e-05
