n,array,heap
20,4.3599982745945454e-05,3.650000144261867e-05
30,6.775000656489283e-05,6.304998532868922e-05
40,0.00012180001067463309,7.490000280085951e-05
50,0.00016185001004487276,0.00011350000568199903
80,0.0004922499938402325,0.00034255000355187804
120,0.0008640000014565885,0.0004972000024281442
200,0.0026943499979097396,0.0017453500040574
300,0.005586799990851432,0.004972449998604134
400,0.03130595000402536,0.02312859999074135
600,0.07940184998733457,0.05172889999812469
800,0.13096689998928923,0.10248089999367949
