n,array,heap
20,4.7299996367655694e-05,3.940000897273421e-05
30,6.874999962747097e-05,7.019999611657113e-05
40,8.985000022221357e-05,4.2400002712383866e-05
50,0.000109350003185682,5.330001295078546e-05
80,0.0002728000108618289,0.000125899983686395
120,0.0004332000098656863,0.00011285000073257834
200,0.0018788999877870083,0.0004413999995449558
300,0.003449600000749342,0.0005636500136461109
400,0.010208600011537783,0.0013270999916130677
600,0.02041820000158623,0.002505700002075173
800,0.040399450008408166,0.004518600006122142
