algorithm,variant,density,n,m_undirected,repeat,seconds
prim,matrix,sparse,100,499,0,0.002253000042401254
prim,heap,sparse,100,499,0,0.00048019998939707875
kruskal,naive,sparse,100,499,0,0.00025350000942125916
kruskal,dsu,sparse,100,499,0,0.0001756999990902841
kruskal,dsu,sparse,100,499,1,0.00013109995052218437
kruskal,naive,sparse,100,499,1,0.00030770001467317343
prim,heap,sparse,100,499,1,0.0004952999879606068
prim,matrix,sparse,100,499,1,0.0020691999816335738
prim,matrix,sparse,100,499,2,0.0010043000220321119
prim,heap,sparse,100,499,2,0.000215600011870265
kruskal,naive,sparse,100,499,2,0.00024359999224543571
kruskal,dsu,sparse,100,499,2,0.000159099989105016
prim,matrix,dense,100,3083,0,0.0014010999584570527
prim,heap,dense,100,3083,0,0.0012171000125817955
kruskal,naive,dense,100,3083,0,0.00046660000225529075
kruskal,dsu,dense,100,3083,0,0.0003816999960690737
kruskal,dsu,dense,100,3083,1,0.0005608000210486352
kruskal,naive,dense,100,3083,1,0.0004447000101208687
prim,heap,dense,100,3083,1,0.0006429000059142709
prim,matrix,dense,100,3083,1,0.0010067999828606844
prim,matrix,dense,100,3083,2,0.0011760000488720834
prim,heap,dense,100,3083,2,0.0006428000051528215
kruskal,naive,dense,100,3083,2,0.000492099963594228
kruskal,dsu,dense,100,3083,2,0.0003761000116355717
prim,matrix,sparse,200,999,0,0.006392900017090142
prim,heap,sparse,200,999,0,0.0009686999837867916
kruskal,naive,sparse,200,999,0,0.0005893000052310526
kruskal,dsu,sparse,200,999,0,0.00027269998099654913
kruskal,dsu,sparse,200,999,1,0.00029550003819167614
kruskal,naive,sparse,200,999,1,0.0005706999800167978
prim,heap,sparse,200,999,1,0.00039770000148564577
prim,matrix,sparse,200,999,1,0.00398689997382462
prim,matrix,sparse,200,999,2,0.004364399996120483
prim,heap,sparse,200,999,2,0.0004868999822065234
kruskal,naive,sparse,200,999,2,0.0008493000059388578
kruskal,dsu,sparse,200,999,2,0.00041550002060830593
prim,matrix,dense,200,12039,0,0.00400930002797395
prim,heap,dense,200,12039,0,0.003330000035930425
kruskal,naive,dense,200,12039,0,0.002479800023138523
kruskal,dsu,dense,200,12039,0,0.002444799989461899
kruskal,dsu,dense,200,12039,1,0.001338200003374368
kruskal,naive,dense,200,12039,1,0.0024074999964796007
prim,heap,dense,200,12039,1,0.00285210000583902
prim,matrix,dense,200,12039,1,0.00565390003612265
prim,matrix,dense,200,12039,2,0.004024099966045469
prim,heap,dense,200,12039,2,0.003041899995878339
kruskal,naive,dense,200,12039,2,0.0016419999883510172
kruskal,dsu,dense,200,12039,2,0.0026168000185862184
prim,matrix,sparse,400,1999,0,0.019434900023043156
prim,heap,sparse,400,1999,0,0.0030180999892763793
kruskal,naive,sparse,400,1999,0,0.0025969999842345715
kruskal,dsu,sparse,400,1999,0,0.0014741999912075698
kruskal,dsu,sparse,400,1999,1,0.0006313000340014696
kruskal,naive,sparse,400,1999,1,0.0025816999841481447
prim,heap,sparse,400,1999,1,0.0026366999954916537
prim,matrix,sparse,400,1999,1,0.020162299973890185
prim,matrix,sparse,400,1999,2,0.02046979998704046
prim,heap,sparse,400,1999,2,0.0014022000250406563
kruskal,naive,sparse,400,1999,2,0.0025689000030979514
kruskal,dsu,sparse,400,1999,2,0.001698400010354817
prim,matrix,dense,400,48065,0,0.017335499986074865
prim,heap,dense,400,48065,0,0.018170700001064688
kruskal,naive,dense,400,48065,0,0.006989699963014573
kruskal,dsu,dense,400,48065,0,0.007542299979832023
kruskal,dsu,dense,400,48065,1,0.0057270999532192945
kruskal,naive,dense,400,48065,1,0.009263300045859069
prim,heap,dense,400,48065,1,0.025182300014421344
prim,matrix,dense,400,48065,1,0.01598680001916364
prim,matrix,dense,400,48065,2,0.019372700015082955
prim,heap,dense,400,48065,2,0.01744570001028478
kruskal,naive,dense,400,48065,2,0.006778900045901537
kruskal,dsu,dense,400,48065,2,0.007042300014290959
prim,matrix,sparse,800,3999,0,0.08280039997771382
prim,heap,sparse,800,3999,0,0.0037447999930009246
kruskal,naive,sparse,800,3999,0,0.009676899993792176
kruskal,dsu,sparse,800,3999,0,0.0017642000457271934
kruskal,dsu,sparse,800,3999,1,0.001995400001760572
kruskal,naive,sparse,800,3999,1,0.010301399976015091
prim,heap,sparse,800,3999,1,0.0027274999883957207
prim,matrix,sparse,800,3999,1,0.08111000002827495
prim,matrix,sparse,800,3999,2,0.07514919998357072
prim,heap,sparse,800,3999,2,0.003463700006250292
kruskal,naive,sparse,800,3999,2,0.010688700014725327
kruskal,dsu,sparse,800,3999,2,0.0017915000207722187
prim,matrix,dense,800,192356,0,0.08177959994645789
prim,heap,dense,800,192356,0,0.14087379997363314
kruskal,naive,dense,800,192356,0,0.04676729999482632
kruskal,dsu,dense,800,192356,0,0.031551399966701865
kruskal,dsu,dense,800,192356,1,0.030911599984392524
kruskal,naive,dense,800,192356,1,0.031566500023473054
prim,heap,dense,800,192356,1,0.12118459999328479
prim,matrix,dense,800,192356,1,0.08357359998626634
prim,matrix,dense,800,192356,2,0.07197450002422556
prim,heap,dense,800,192356,2,0.1453532999730669
kruskal,naive,dense,800,192356,2,0.04535170004237443
